Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
регби	916	autre	#р ре ег гб би и#	0.080525935435828	0	0	0	a	0.2757371508078773	0.3342568376887188	0.3680507847883191	0.6147455400008939	2	ad	0	I	0	n	0	0	ajout	регбийный		114	регбиj	cAlv	n
риелтор	573	autre	#р ри ие ел лт то ор р#	-0.832813657564438	0	h	0	0	0.3216297439276177	0.4987182393678289	0.3357941263961382	0.2615948702457631	3	ad	a	I	1	m	0	0	0	риелторский		114	риелтор	cDent	sk
студент	63600	autre	#с ст ту уд де ен нт т#	-1.0402210117380533	0	h	0	0	0.2983689407807973	0.4711304029738977	0.3985284661516116	0.4217542098495753	2	d	a	I	1	m	0	0	0	студентский		114	студент	cDent	sk
кастилия	139	autre	#к ка ас ст ти ил ли ия я#	-2.634589323510768	p	0	0	0	0.7006146756784588	0.4545955293752594	0.2847776412110435	0.2858232441066803	4	aad	a	II	7	f	0	0	supp	кастильский		113	кастил	cDent	sk
клип	3678	autre	#к кл ли ип п#	-1.4785891209832314	0	0	c	0	0.3256007459421791	0.3392783204090822	0.5899402768602323	0.4216587089813631	1	d	a	I	1	m	0	0	0	клиповый		113	клип	cLab	Ov
роуминг	923	autre	#р ро оу ум ми ин нг г#	-1.570433616295728	0	0	0	a	0.1934602563905068	0.3550367366071144	0.3559727909016887	0.4346627354072048	3	aad	a	I	3	m	0	0	0	роуминговый		113	роуминг	cVel	Ov
тал	336	autre	#т та ал л#	-1.1417059304713566	0	0	c	0	0.3039119997514084	0.3419072128235016	0.3030363477059429	0.2534486259502805	1	d	a	I	1	m	0	0	0	таловый		113	тал	cDent	Ov
биллинг	168	autre	#б би ил лл ли ин нг г#	-2.622833158542088	0	0	0	a	0.2213692774837587	0.411550473192466	0.3711820055624261	0.4651936479213727	2	ad	a	I	3	m	0	0	0	биллинговый		112	биллинг	cVel	Ov
горн	3371	slave	#г го ор рн н#	-1.326579490524472	0	0	c	0	0.1636966686094855	0.3109036051803535	0.5621694362597658	0.3453740730925531	1	d	a	I	1	m	0	0	0	горновой		112	горн	cDent	Ov
ипподром	1656	autre	#и ип пп по од др ро ом м#	0.4375419872983027	0	0	c	0	0.2644112700340225	0.2704744587360991	0.4358788863758355	0.3374864080008363	3	d	a	I	1	m	0	0	0	ипподромный		112	ипподром	cLab	n
компост	420	autre	#к ко ом мп по ос ст т#	-1.6086053131996598	0	0	c	0	0.1314684516435274	0.3158357266527073	0.622306314913882	0.4265511743229167	2	d	a	I	1	m	0	0	0	компостный		112	компост	cDent	n
консенсус	1992	autre	#к ко он нс се ен нс су ус с#	-1.7505058917711125	0	0	0	a	0.1661436729459771	0.2418771738204032	0.2619736252088288	0.4136556876881479	3	ad	a	I	1	m	0	0	0	консенсусный		112	консенсус	cDent	n
литератор	8506	autre	#л ли ит те ер ра ат то ор р#	-4.242383723738981	0	h	0	0	0.390355513165893	0.5486897911642048	0.3251860857137642	0.3779513469094694	4	ad	a	I	1	m	0	0	0	литераторский		112	литератор	cDent	sk
малгобек	160	autre	#м ма ал лг го об бе ек к#	-0.8472782065453768	p	0	0	0	0.6561635262400474	0.3035613471319823	0.3630080935950176	0.2370094136116041	3	d	a	I	3	m	0	0	0	малгобекский		112	малгобек	cVel	sk
ноготь	8104	slave	#н но ог го от ть ь#	0.6224543617330246	0	0	c	0	0.12460983087906	0.2896217840266671	0.5676349554754696	0.4182215354197052	2	ad	e	I	2	m	1	0	0	ногтевой		112	ногт	cDent	Ov
